2013-05-01,2,1001731,SN0902,195.0,0.17543384,0.16559912,104.56158
2013-05-11,2,1001731,SN0902,195.0,0.17205128,0.16326843,104.1182
2013-05-21,2,1001731,SN0902,195.0,0.16681845,0.1612914,102.615845
2013-06-01,2,1001731,SN0902,195.0,0.16201948,0.16114102,100.41605
2013-06-11,2,1001731,SN0902,195.0,0.1608282,0.16463095,98.22825
2013-06-21,2,1001731,SN0902,195.0,0.16425794,0.17333128,95.93728
2013-07-01,2,1001731,SN0902,195.0,0.17388462,0.18753071,94.25502
2013-07-11,2,1001731,SN0902,195.0,0.19199179,0.20928884,93.32904
2013-07-21,2,1001731,SN0902,195.0,0.22051692,0.23942702,93.46636
2013-08-01,2,1001731,SN0902,195.0,0.25350153,0.27681568,92.866264
2013-08-11,2,1001731,SN0902,195.0,0.28346154,0.31564903,91.19717
2013-08-21,2,1001731,SN0902,195.0,0.30843383,0.3502142,89.56049
2013-09-01,2,1001731,SN0902,195.0,0.32547283,0.36803764,89.81795
2013-09-11,2,1001731,SN0902,195.0,0.33553076,0.36545363,92.79755
2013-09-21,2,1001731,SN0902,195.0,0.33615026,0.3472544,97.20477
2013-10-01,2,1001731,SN0902,195.0,0.32614407,0.32048082,101.52862
2013-10-11,2,1001731,SN0902,195.0,0.30740666,0.29294252,104.21766
2013-10-21,2,1001731,SN0902,195.0,0.28375283,0.2685046,104.787445
2013-11-01,2,1001731,SN0902,195.0,0.2623687,0.25019932,104.05377
2013-11-11,2,1001731,SN0902,195.0,0.2471164,0.23802175,103.15763
2013-11-21,2,1001731,SN0902,195.0,0.23616615,0.22963808,102.33447
2013-12-01,2,1001731,SN0902,195.0,0.2272841,0.22341865,101.41375
2013-12-11,2,1001731,SN0902,195.0,0.21997385,0.21802741,100.72621
2013-12-21,2,1001731,SN0902,195.0,0.21460307,0.21264455,100.74569
2014-01-01,2,1001731,SN0902,195.0,0.21048102,0.20694746,101.37521
2014-01-11,2,1001731,SN0902,195.0,0.20766564,0.20236327,102.10109
