Name,Latitude,Longitude,OSM_ID
CPK Ecole Publique,-4.4075713,15.4099164,4795666051
Ecole ITEC Kinshasa,-4.4063081,15.4206473,4795667420
Ecole Malako,-4.4108706,15.4103327,4795669353
Ecole M'balanda,-4.414371,15.41589,4795670600
College Deborah / Meteo,-4.412234,15.414882,4795671355
Ecole Saint-Viannet,-4.4174204,15.3691353,4795678720
Complexe scolaire Lalu,-4.4202261,15.3663502,4795683751
Ecole Notre-Dame de la Consolata,-4.4657163,15.4552034,4795700264
Ecole Moliambo,-4.44001,15.43234,4795701111
Ecole Molokai,-4.4522111,15.4186901,4795701864
Ecole Pere Charles,-4.4524711,15.4081713,4795702037
Complexe Scolaire Sadisana,-4.425155,15.418608,4795706003
Ecole ITP Goge,-4.392015,15.377353,4796290315
Université Révérend KIM,-4.3923096,15.3752468,4796292422
Complexe Scolaire Rev. Jack Mus,-4.4141094,15.4342232,4796299657
College Depart,-4.405042,15.410552,4796308934
College Saint-Placide,-4.4074431,15.4109444,4796309295
Ecole Mamaboka,-4.411578,15.4179753,4796358744
Ecole Musenge Ex. Fatali,-4.417484,15.4199116,4796366526
Institut St-Bikuku,-4.419932,15.419586,4796369952
Groupe Scolaire Saint-Eloi,-4.417702,15.415989,4796371821
Complexe Scolaire A.F.S.E.,-4.4138399,15.4302893,4796377164
College Marquis Kivuvu,-4.4166961,15.4329298,4796380391
Ecole Adventiste EPA Massina 2,-4.4213089,15.4303646,4796384038
Ecole Privee Aku,-4.4239753,15.4233312,4796384745
Complexe scolaire Mvundu,-4.4281772,15.4277095,4796448359
Ecole Bikala,-4.4247784,15.4295014,4796450462
Complexe scolaire Ste-Marie Minkoto,-4.4266819,15.4275389,4796452676
Ecole EP6 Kikimi,-4.4285753,15.4309979,4796453525
Ecole Primaire 4 et 8,-4.4324433,15.4308317,4796455266
Centre de rattrapage scolaire,-4.4268693,15.426217,4796456676
Ecole Ikuma,-4.42796,15.419183,4796459622
Ecole Msala,-4.427813,15.421405,4796460241
College Bel'Onyx,-4.425316,15.416928,4796460669
Ecole Vainqueur,-4.429073,15.420256,4796461675
College St-Francois,-4.425288,15.414771,4796464229
Ecole ITC Moukali,-4.4298934,15.4160219,4796464274
École Primaire Rvd Mouzi,-4.4461629,15.4181414,4796469395
Ecole Pere Damien,-4.4479751,15.4151206,4796477962
Ecole Mamandanda,-4.4421041,15.4099886,4796490834
Ecole Ngotto,-4.4399862,15.3983837,4796494833
Ecole Pere Rene,-4.434471,15.405534,4796498844
Ecole Montagneuse,-4.435776,15.398018,4796505278
Ecole Muka,-4.434475,15.396523,4796508635
College du 22 Mars,-4.4234375,15.3903125,4796510225
Ecole INGA,-4.4157612,15.3918937,4796512016
Elikya,-4.4059445,15.3744941,4796516815
Ecole Primaire Kinghoy,-4.4009243,15.3723954,4796531106
Ecole Masamba,-4.3986153,15.3747688,4796862506
Ecole Primaire Lumfu2,-4.399576,15.375951,4796864345
Complexe Scolaire Q7 Njili,-4.40246,15.377496,4796869071
College de La Grace,-4.4018711,15.3883268,4796906109
Complexe Scolaire Assani,-4.406221,15.393046,4796906324
Complexe scolaire le Cameleon,-4.4202015,15.3906568,4796907593
College Notre Dame de Grace,-4.4262508,15.3932041,4796907928
Ecole Adventiste,-4.4290322,15.3955998,4796911576
Ecole de la Pentecote,-4.427845,15.400756,4796914101
Ecole Biyela EP5,-4.4279009,15.4058298,4798226075
